,Temporada,round,game_id,date,fixture,team_id,team_name,possession,opponent_possession,place,PPDA,defensive_intensity,defensive_duels_won_%,defensive_height,opposition_pass_tempo,opposition_progression_percentage,opp_final_third_to_box_%,Opposition_xT,high_turnovers,turnover_line_height,recoveries_within_5s_%,avg_time_to_defensive_action,avg_recovery_time,opposition_final_third_entries_10s,opposition_box_entries_10s,opposition_xG_10s,recoveries,recovery_height,retained_possessions_5s,retained_possessions_5s_%,final_third_entries_10s,box_entries_10s,xG_10s,xT_10s,field_tilt_%,long_ball_%,pass_tempo,final_third_entries_%,final_third_to_box_entries_%,xT,penalty_area_touches,box_entries_to_shot_%,np_shots,high_opportunity_shots,np_xg,np_goals,xg_per_shot,ball_in_play,total_xg,goal_difference,goals_conceded,goals_scored
219,2026,12,1955851,2026-04-19,Flamengo 2 x 0 Bahia,1221,Bahia,50.28,49.72,Fora,15.526315789473685,76.42799678197908,0.46774193548387094,30.31205882352941,20.292887029288703,44.285714285714285,32.142857142857146,2.7661648,49.721559268098645,54.84311538461539,13.924050632911392,58.5546875,71.125,38,14,1.0379682,79.44489139179404,33.03113924050633,62,56.88073394495413,19,4,0.07052795,2.179972,39.20963260265514,3.1645569620253164,19.117241379310343,42.391304347826086,43.13725490196079,11.782236,19,18.181818181818183,13,0.0,0.70923984,0.0,0.05455691080826979,24.166666666666668,0.70923984,-2,2,0.0
220,2026,12,1955857,2026-04-19,Santos FC 2 x 3 Fluminense,1232,Fluminense,57.29,42.71,Fora,9.714285714285714,79.606649496605,0.65625,37.082,20.150943396226413,35.714285714285715,21.428571428571427,1.2929277,48.00139640425903,52.68617021276596,18.666666666666668,55.07857142857143,71.11428571428571,27,11,2.1438053,87.80145165066729,41.9636,61,53.04347826086957,29,7,1.25135,2.6700792,55.091210613598676,6.496519721577726,17.763713080168777,34.375,31.372549019607842,11.00336,28,37.5,10,2.0,1.1388497,3.0,0.11388497352600098,23.7,1.1388497,1,2,3.0
221,2026,12,1955857,2026-04-19,Santos FC 2 x 3 Fluminense,1241,Santos FC,42.71,57.29,Casa,9.685714285714285,58.47442834700646,0.6428571428571429,40.63038461538462,17.763713080168777,31.25,21.62162162162162,1.6222035,46.82744088035589,58.72412408759124,21.53846153846154,56.175182481751825,93.26277372262774,29,7,1.25135,56.728923023215216,49.57292307692308,53,66.25,27,11,2.1438053,1.9834938,44.908789386401324,7.12401055408971,20.150943396226413,42.857142857142854,48.717948717948715,8.254635,35,21.052631578947366,6,4.0,1.6341727,2.0,0.2723621129989624,17.666666666666668,1.6341727,-1,3,2.0
222,2026,12,1955860,2026-04-19,Palmeiras 1 x 0 Athletico Paranaense,1243,Athletico Paranaense,47.67,52.33,Fora,9.724137931034482,56.373017389642655,0.6086956521739131,31.80985294117647,17.39495798319328,46.666666666666664,27.083333333333332,1.2149942,45.10174113698343,56.70963302752294,18.181818181818183,69.01960784313725,105.0,23,8,0.07659643,63.0613414867189,40.35818181818182,50,61.72839506172839,31,12,0.15782514,1.811576,50.277372262773724,8.379888268156424,18.763837638376383,56.33802816901409,41.66666666666667,9.466456,22,20.0,9,0.0,0.23914629,0.0,0.026571810245513916,18.066666666666666,0.23914629,-1,1,0.0
223,2026,12,1955860,2026-04-19,Palmeiras 1 x 0 Athletico Paranaense,1234,Palmeiras,52.33,47.67,Casa,9.73076923076923,58.737151248164466,0.8108108108108109,34.68579545454545,18.763837638376383,53.52112676056338,17.142857142857142,1.304156,40.12994458245748,57.76369565217391,21.818181818181817,77.25735294117646,119.36764705882354,31,12,0.15782514,57.688273547304384,40.39445454545455,47,41.964285714285715,23,8,0.07659643,1.4774287,49.722627737226276,7.584269662921349,17.39495798319328,49.333333333333336,41.42857142857143,9.580631,32,17.24137931034483,10,1.0,0.5395332,1.0,0.053953319787979126,19.833333333333332,0.5395332,1,0,1.0
224,2026,12,1955862,2026-04-19,Red Bull Bragantino 4 x 2 Remo,5438,Red Bull Bragantino,51.58,48.42,Casa,15.1,73.31681123502685,0.5652173913043478,36.92536082474226,17.55968169761273,43.47826086956522,13.953488372093023,1.0563381,47.499030632027925,56.70641221374046,31.57894736842105,47.246153846153845,69.03846153846153,37,13,0.51607233,78.47996695580338,44.74519736842105,60,60.60606060606061,36,17,0.68477535,2.2805452,48.46806939830196,8.533333333333333,17.775933609958507,60.46511627906976,47.61904761904761,9.054931,39,33.33333333333333,16,1.0,1.439693,2.0,0.08998081088066101,20.083333333333332,1.439693,-2,4,2.0
225,2026,12,1955862,2026-04-19,Red Bull Bragantino 4 x 2 Remo,4617,Remo,48.42,51.58,Fora,18.0,66.88639007367196,0.631578947368421,32.31017045454546,17.775933609958507,54.65116279069767,41.46341463414634,1.1800278,53.696819496075996,51.403489932885904,21.12676056338028,56.97241379310345,69.1448275862069,36,17,0.68477535,68.82512601783637,40.80654929577465,53,46.49122807017544,37,13,0.51607233,2.2026906,51.531930601698036,11.627906976744185,17.55968169761273,47.82608695652174,31.818181818181817,7.9134316,17,19.047619047619047,9,1.0,2.6680322,4.0,0.2964480188157823,18.85,2.6680322,2,2,4.0
226,2026,12,1955865,2026-04-19,Cruzeiro 2 x 0 Gremio,1244,Gremio,60.19,39.81,Fora,10.761904761904763,79.12584777694046,0.6037735849056604,31.120613207547173,16.86552072800809,48.75,23.91304347826087,1.283802,40.704435952816084,51.75961538461538,18.571428571428573,70.1025641025641,78.34188034188034,32,9,0.69688284,87.91760864104495,33.765,50,57.47126436781609,17,9,0.04269542,1.4156711,44.30555555555556,8.158508158508159,16.535117056856187,36.708860759493675,32.35294117647059,9.35448,30,27.27272727272727,9,1.0,0.9011123,0.0,0.1001235908932156,24.916666666666668,0.9011123,-2,2,0.0
227,2026,12,1955865,2026-04-19,Cruzeiro 2 x 0 Gremio,1230,Cruzeiro,39.81,60.19,Casa,10.38888888888889,48.18076092374149,0.559322033898305,37.466470588235296,16.535117056856187,34.177215189873415,11.11111111111111,0.75936586,27.6312484300427,64.32259615384615,16.39344262295082,44.62135922330097,71.05825242718447,17,9,0.04269542,50.67286924738329,43.4166393442623,53,51.9607843137255,32,9,0.69688284,2.6937141,55.69444444444444,8.996539792387544,16.86552072800809,55.00000000000001,46.774193548387096,7.8363705,37,24.137931034482758,18,2.0,2.316402,2.0,0.128688997692532,16.483333333333334,2.316402,2,0,2.0
228,2026,12,1955868,2026-04-19,Internacional 1 x 2 Mirassol,1219,Internacional,71.69,28.31,Casa,6.757575757575758,128.92970681737904,0.6,48.80166666666666,12.73209549071618,39.34426229508197,11.76470588235294,0.46947944,11.856604826335612,74.42236526946108,18.84057971014493,46.862275449101794,65.1377245508982,20,7,0.73716235,121.8650653479336,51.6554347826087,103,63.190184049079754,38,16,0.35248816,3.3638463,77.8794402583423,6.86106346483705,18.135149292823467,58.76288659793815,55.172413793103445,18.417263,86,18.75,24,0.0,0.8703302,1.0,0.0362637589375178,31.816666666666666,0.8703302,-1,2,1.0
